"record_id","case_id","case_version","initial_received_date","version_received_date","product_id","species","country","age_years","weight_kg","sex","neutered","administration_date","onset_date","primary_event","serious","seriousness_reason","outcome","reporter_type","batch_id","concomitant_medication","off_label_use","reporting_month","reporting_year","reporting_half","reporting_period"
"SYNCASE_002512_V1","SYNCASE_002512",1,2025-08-05,2025-08-05,"SYN_A","Dog","US",,36.9,"Unknown","Yes",2025-07-14,2025-07-15,"Vomiting","No","Not applicable","Unknown","Owner","SYN_A_2025Q3_B1","No","No",2025-08-01,2025,"H2","2025_H2"
"SYNCASE_002536_V1","SYNCASE_002536",1,2025-08-05,2025-08-05,"SYN_A","Cat","US",5.7,,"Female","Yes",2025-07-12,2025-07-23,"Vomiting","No","Not applicable","Recovering","Owner","SYN_A_2025Q3_B1","No","No",2025-08-01,2025,"H2","2025_H2"
"SYNCASE_002513_V1","SYNCASE_002513",1,2025-08-10,2025-08-10,"SYN_A","Dog","US",2.5,37.7,"Female","No",2025-07-02,2025-07-15,"Vomiting","No","Not applicable","Recovering","Veterinarian",,"No","No",2025-08-01,2025,"H2","2025_H2"
"SYNCASE_002540_V1","SYNCASE_002540",1,2025-08-19,2025-08-19,"SYN_A","Cat","DE",13.2,5.7,"Male","Unknown",2025-07-11,2025-07-23,"Vomiting","No","Not applicable","Recovered","Veterinarian","SYN_A_2025Q3_B2","No","No",2025-08-01,2025,"H2","2025_H2"
"SYNCASE_002534_V1","SYNCASE_002534",1,2025-08-20,2025-08-20,"SYN_A","Cat","US",10.9,,"Male","Yes",2025-08-08,2025-08-09,"Vomiting","No","Not applicable","Recovered","Veterinarian",,"No","No",2025-08-01,2025,"H2","2025_H2"
"SYNCASE_002514_V1","SYNCASE_002514",1,2025-08-22,2025-08-22,"SYN_A","Dog","US",,35.3,"Male","No",2025-07-26,,"Vomiting","Yes","Life threatening","Recovered","Veterinarian","SYN_A_2025Q3_B3","Unknown","No",2025-08-01,2025,"H2","2025_H2"
"SYNCASE_002509_V1","SYNCASE_002509",1,2025-08-24,2025-08-24,"SYN_A","Dog","US",5.5,14.3,"Male","Yes",2025-07-27,2025-08-09,"Vomiting","Yes","Life threatening","Unknown","Veterinarian","SYN_A_2025Q3_B3","Yes","No",2025-08-01,2025,"H2","2025_H2"
"SYNCASE_002517_V1","SYNCASE_002517",1,2025-08-26,2025-08-26,"SYN_A","Dog","US",2.4,40.8,"Male","Unknown",2025-08-07,,"Vomiting","No","Not applicable","Recovering","Veterinarian","SYN_A_2025Q3_B1","Unknown","No",2025-08-01,2025,"H2","2025_H2"
"SYNCASE_002522_V1","SYNCASE_002522",1,2025-08-27,2025-08-27,"SYN_A","Dog","GB",2.2,22.5,"Female","No",2025-08-10,2025-08-17,"Vomiting","No","Not applicable","Not recovered","Veterinarian","SYN_A_2025Q3_B2","No","No",2025-08-01,2025,"H2","2025_H2"
"SYNCASE_002611_V1","SYNCASE_002611",1,2025-09-02,2025-09-02,"SYN_A","Dog","US",8.8,22,"Female","No",2025-07-31,2025-08-09,"Vomiting","No","Not applicable","Recovered","Veterinarian","SYN_A_2025Q3_B2","No","No",2025-09-01,2025,"H2","2025_H2"
"SYNCASE_002636_V1","SYNCASE_002636",1,2025-09-06,2025-09-06,"SYN_A","Cat","GB",14.6,,"Male","Yes",2025-08-27,2025-08-27,"Vomiting","No","Not applicable","Recovered","Veterinarian","SYN_A_2025Q3_B2","No","Unknown",2025-09-01,2025,"H2","2025_H2"
"SYNCASE_002613_V1","SYNCASE_002613",1,2025-09-07,2025-09-07,"SYN_A","Dog","US",2.8,28.1,"Male","No",,2025-08-19,"Vomiting","No","Not applicable","Recovered","Veterinarian","SYN_A_2025Q3_B2","No","No",2025-09-01,2025,"H2","2025_H2"
"SYNCASE_002639_V1","SYNCASE_002639",1,2025-09-07,2025-09-07,"SYN_A","Cat","DE",8.1,2.1,"Female","Yes",2025-08-26,2025-09-07,"Vomiting","Yes","Life threatening","Unknown","Veterinarian",,"No","No",2025-09-01,2025,"H2","2025_H2"
"SYNCASE_002614_V1","SYNCASE_002614",1,2025-09-09,2025-09-09,"SYN_A","Dog","US",3.4,41.2,"Male","Yes",2025-08-06,2025-08-19,"Vomiting","No","Not applicable","Recovered","Owner",,"No","No",2025-09-01,2025,"H2","2025_H2"
"SYNCASE_002610_V1","SYNCASE_002610",1,2025-09-12,2025-09-12,"SYN_A","Dog","US",12,28.7,"Male","Yes",,2025-08-16,"Vomiting","No","Not applicable","Unknown","Other","SYN_A_2025Q3_B2","Yes","No",2025-09-01,2025,"H2","2025_H2"
"SYNCASE_002628_V1","SYNCASE_002628",1,2025-09-15,2025-09-15,"SYN_A","Dog","DE",5.1,,"Female","No",2025-08-23,2025-09-06,"Vomiting","No","Not applicable","Recovered","Owner","SYN_A_2025Q3_B3","No","No",2025-09-01,2025,"H2","2025_H2"
"SYNCASE_002624_V1","SYNCASE_002624",1,2025-09-18,2025-09-18,"SYN_A","Dog","DE",12.6,42.2,"Male","Yes",2025-09-11,2025-09-15,"Vomiting","No","Not applicable","Unknown","Veterinarian","SYN_A_2025Q3_B3","No","No",2025-09-01,2025,"H2","2025_H2"
"SYNCASE_002635_V2","SYNCASE_002635",2,2025-09-18,2025-10-09,"SYN_A","Cat","GB",6,8,"Female","Yes",2025-08-15,2025-08-23,"Vomiting","Yes","Life threatening","Recovered","Veterinarian","SYN_A_2025Q3_B2","No","No",2025-09-01,2025,"H2","2025_H2"
"SYNCASE_002620_V1","SYNCASE_002620",1,2025-09-21,2025-09-21,"SYN_A","Dog","GB",8.9,40.9,"Female","Yes",2025-09-17,2025-09-18,"Vomiting","No","Not applicable","Recovered","Owner","SYN_A_2025Q3_B2","Yes","No",2025-09-01,2025,"H2","2025_H2"
"SYNCASE_002626_V1","SYNCASE_002626",1,2025-09-23,2025-09-23,"SYN_A","Dog","DE",10.8,29.6,"Male","Yes",,2025-09-02,"Vomiting","No","Not applicable","Recovered","Owner","SYN_A_2025Q3_B1","No","No",2025-09-01,2025,"H2","2025_H2"
"SYNCASE_002623_V1","SYNCASE_002623",1,2025-09-25,2025-09-25,"SYN_A","Dog","GB",4.3,44.9,"Female","Yes",2025-09-05,2025-09-15,"Vomiting","No","Not applicable","Recovering","Owner","SYN_A_2025Q3_B3","No","No",2025-09-01,2025,"H2","2025_H2"
"SYNCASE_002617_V1","SYNCASE_002617",1,2025-09-26,2025-09-26,"SYN_A","Dog","GB",6.7,42.2,"Male","Yes",2025-08-30,2025-09-07,"Vomiting","No","Not applicable","Recovered","Veterinarian","SYN_A_2025Q3_B3","Yes","Yes",2025-09-01,2025,"H2","2025_H2"
"SYNCASE_002730_V1","SYNCASE_002730",1,2025-10-02,2025-10-02,"SYN_A","Dog","GB",10.4,10.4,"Unknown","No",2025-09-11,2025-09-22,"Vomiting","No","Not applicable","Recovered","Veterinarian","SYN_A_2025Q4_B2","No","No",2025-10-01,2025,"H2","2025_H2"
"SYNCASE_002722_V1","SYNCASE_002722",1,2025-10-03,2025-10-03,"SYN_A","Dog","US",,18,"Female","Yes",2025-09-18,2025-09-26,"Vomiting","No","Not applicable","Recovered","Owner",,"No","No",2025-10-01,2025,"H2","2025_H2"
"SYNCASE_002726_V1","SYNCASE_002726",1,2025-10-03,2025-10-03,"SYN_A","Dog","US",0.9,26,"Female","Yes",2025-09-07,2025-09-15,"Vomiting","Yes","Life threatening","Recovered","Owner","SYN_A_2025Q4_B1","No","Unknown",2025-10-01,2025,"H2","2025_H2"
"SYNCASE_002731_V1","SYNCASE_002731",1,2025-10-12,2025-10-12,"SYN_A","Dog","GB",6.5,40.5,"Female","Yes",,2025-09-12,"Vomiting","No","Not applicable","Unknown","Owner","SYN_A_2025Q4_B3","No","Yes",2025-10-01,2025,"H2","2025_H2"
"SYNCASE_002738_V1","SYNCASE_002738",1,2025-10-15,2025-10-15,"SYN_A","Dog","DE",14.8,42,"Male","Unknown",2025-10-06,2025-10-11,"Vomiting","No","Not applicable","Recovering","Veterinarian","SYN_A_2025Q4_B2","No","No",2025-10-01,2025,"H2","2025_H2"
"SYNCASE_002752_V1","SYNCASE_002752",1,2025-10-15,2025-10-15,"SYN_A","Cat","GB",12.2,2.8,"Female","Yes",2025-10-11,2025-10-11,"Vomiting","No","Not applicable","Recovering","Veterinarian","SYN_A_2025Q4_B3","No","No",2025-10-01,2025,"H2","2025_H2"
"SYNCASE_002723_V1","SYNCASE_002723",1,2025-10-17,2025-10-17,"SYN_A","Dog","US",14.5,36.5,"Female","Yes",2025-09-21,2025-09-25,"Vomiting","No","Not applicable","Recovering","Owner",,"Unknown","No",2025-10-01,2025,"H2","2025_H2"
"SYNCASE_002719_V1","SYNCASE_002719",1,2025-10-19,2025-10-19,"SYN_A","Dog","US",,17.5,"Female","Yes",2025-10-08,2025-10-16,"Vomiting","No","Not applicable","Recovered","Veterinarian","SYN_A_2025Q4_B1","No","No",2025-10-01,2025,"H2","2025_H2"
"SYNCASE_002718_V1","SYNCASE_002718",1,2025-10-20,2025-10-20,"SYN_A","Dog","US",12.5,43.4,"Female","No",2025-10-15,2025-10-16,"Vomiting","Yes","Life threatening","Recovered","Veterinarian",,"No","No",2025-10-01,2025,"H2","2025_H2"
"SYNCASE_002724_V1","SYNCASE_002724",1,2025-10-21,2025-10-21,"SYN_A","Dog","US",2.4,26.6,"Female","Yes",2025-09-21,2025-09-21,"Vomiting","No","Not applicable","Recovered","Owner",,"No","Yes",2025-10-01,2025,"H2","2025_H2"
"SYNCASE_002748_V1","SYNCASE_002748",1,2025-10-22,2025-10-22,"SYN_A","Cat","US",,5.2,"Female","Yes",2025-09-23,2025-09-27,"Vomiting","Yes","Life threatening","Recovered","Veterinarian","SYN_A_2025Q4_B1","No","No",2025-10-01,2025,"H2","2025_H2"
"SYNCASE_002716_V1","SYNCASE_002716",1,2025-10-25,2025-10-25,"SYN_A","Dog","US",8.4,,"Female","Yes",2025-10-03,2025-10-17,"Vomiting","No","Not applicable","Not recovered","Veterinarian","SYN_A_2025Q4_B3","No","No",2025-10-01,2025,"H2","2025_H2"
"SYNCASE_002746_V1","SYNCASE_002746",1,2025-10-26,2025-10-26,"SYN_A","Cat","US",,3,"Female","Yes",2025-10-04,2025-10-09,"Vomiting","No","Not applicable","Not recovered","Owner","SYN_A_2025Q4_B3","No","No",2025-10-01,2025,"H2","2025_H2"
"SYNCASE_002744_V2","SYNCASE_002744",2,2025-10-27,2025-11-21,"SYN_A","Cat","US",4.8,4.3,"Female","Yes",2025-10-08,2025-10-22,"Vomiting","No","Not applicable","Recovered","Veterinarian","SYN_A_2025Q4_B2","Yes","No",2025-10-01,2025,"H2","2025_H2"
"SYNCASE_002737_V1","SYNCASE_002737",1,2025-10-29,2025-10-29,"SYN_A","Dog","GB",14.7,19.9,"Female","No",2025-10-05,,"Vomiting","No","Not applicable","Recovered","Veterinarian",,"No","No",2025-10-01,2025,"H2","2025_H2"
"SYNCASE_002828_V1","SYNCASE_002828",1,2025-11-03,2025-11-03,"SYN_A","Cat","US",,4,"Male","Yes",,2025-10-26,"Vomiting","No","Not applicable","Unknown","Owner","SYN_A_2025Q4_B3","No","No",2025-11-01,2025,"H2","2025_H2"
"SYNCASE_002814_V1","SYNCASE_002814",1,2025-11-04,2025-11-04,"SYN_A","Dog","US",2.3,16.9,"Male","No",,2025-10-30,"Vomiting","No","Not applicable","Recovering","Veterinarian","SYN_A_2025Q4_B1","No","No",2025-11-01,2025,"H2","2025_H2"
"SYNCASE_002840_V1","SYNCASE_002840",1,2025-11-04,2025-11-04,"SYN_A","Cat","GB",1.8,5.6,"Female","Yes",2025-10-23,2025-10-31,"Vomiting","No","Not applicable","Unknown","Other","SYN_A_2025Q4_B1","No","No",2025-11-01,2025,"H2","2025_H2"
"SYNCASE_002809_V2","SYNCASE_002809",2,2025-11-06,2025-11-22,"SYN_A","Dog","US",6.5,29.4,"Male","Yes",2025-10-12,2025-10-24,"Vomiting","No","Not applicable","Recovered","Veterinarian","SYN_A_2025Q4_B3","Yes","No",2025-11-01,2025,"H2","2025_H2"
"SYNCASE_002812_V1","SYNCASE_002812",1,2025-11-08,2025-11-08,"SYN_A","Dog","US",14.4,6,"Female","Yes",,2025-10-25,"Vomiting","No","Not applicable","Recovered","Veterinarian","SYN_A_2025Q4_B2","No","Unknown",2025-11-01,2025,"H2","2025_H2"
"SYNCASE_002837_V1","SYNCASE_002837",1,2025-11-10,2025-11-10,"SYN_A","Cat","US",14.2,3.7,"Unknown","Yes",2025-10-14,2025-10-19,"Vomiting","No","Not applicable","Recovered","Owner","SYN_A_2025Q4_B1","Yes","No",2025-11-01,2025,"H2","2025_H2"
"SYNCASE_002818_V1","SYNCASE_002818",1,2025-11-11,2025-11-11,"SYN_A","Dog","GB",,8.4,"Male","Unknown",2025-10-05,2025-10-17,"Vomiting","No","Not applicable","Recovered","Veterinarian","SYN_A_2025Q4_B3","No","No",2025-11-01,2025,"H2","2025_H2"
"SYNCASE_002835_V1","SYNCASE_002835",1,2025-11-13,2025-11-13,"SYN_A","Cat","US",3.6,6.9,"Female","Yes",2025-10-19,2025-10-22,"Vomiting","No","Not applicable","Recovered","Veterinarian","SYN_A_2025Q4_B3","No","No",2025-11-01,2025,"H2","2025_H2"
"SYNCASE_002807_V1","SYNCASE_002807",1,2025-11-17,2025-11-17,"SYN_A","Dog","US",3.1,38.4,"Male","Unknown",,2025-11-15,"Vomiting","No","Not applicable","Recovered","Veterinarian","SYN_A_2025Q4_B2","No","No",2025-11-01,2025,"H2","2025_H2"
"SYNCASE_002815_V1","SYNCASE_002815",1,2025-11-17,2025-11-17,"SYN_A","Dog","US",9.5,25.3,"Female","Yes",2025-10-16,,"Vomiting","No","Not applicable","Recovered","Owner","SYN_A_2025Q4_B2","No","Unknown",2025-11-01,2025,"H2","2025_H2"
"SYNCASE_002833_V1","SYNCASE_002833",1,2025-11-17,2025-11-17,"SYN_A","Cat","US",1.8,2.9,"Female","Yes",2025-10-24,2025-10-27,"Vomiting","No","Not applicable","Recovered","Veterinarian","SYN_A_2025Q4_B3","Yes","No",2025-11-01,2025,"H2","2025_H2"
"SYNCASE_002838_V1","SYNCASE_002838",1,2025-11-18,2025-11-18,"SYN_A","Cat","US",6.9,7.3,"Female","Yes",2025-10-25,2025-11-06,"Vomiting","No","Not applicable","Recovered","Owner","SYN_A_2025Q4_B1","Yes","No",2025-11-01,2025,"H2","2025_H2"
"SYNCASE_002808_V1","SYNCASE_002808",1,2025-11-19,2025-11-19,"SYN_A","Dog","US",15.1,21,"Male","Yes",,2025-10-24,"Vomiting","No","Not applicable","Not recovered","Owner","SYN_A_2025Q4_B2","Yes","No",2025-11-01,2025,"H2","2025_H2"
"SYNCASE_002813_V1","SYNCASE_002813",1,2025-11-19,2025-11-19,"SYN_A","Dog","US",10.3,36.4,"Female","No",2025-11-10,2025-11-15,"Vomiting","No","Not applicable","Not recovered","Owner","SYN_A_2025Q4_B3","No","No",2025-11-01,2025,"H2","2025_H2"
"SYNCASE_002821_V1","SYNCASE_002821",1,2025-11-19,2025-11-19,"SYN_A","Dog","GB",7.8,11.2,"Female","Yes",2025-10-28,2025-10-30,"Vomiting","No","Not applicable","Unknown","Veterinarian","SYN_A_2025Q4_B1","No","No",2025-11-01,2025,"H2","2025_H2"
"SYNCASE_002831_V1","SYNCASE_002831",1,2025-11-21,2025-11-21,"SYN_A","Cat","US",2.3,4.9,"Male","Yes",2025-10-27,2025-11-06,"Vomiting","No","Not applicable","Unknown","Veterinarian","SYN_A_2025Q4_B2","No","No",2025-11-01,2025,"H2","2025_H2"
"SYNCASE_002825_V1","SYNCASE_002825",1,2025-11-24,2025-11-24,"SYN_A","Dog","DE",2.7,25.2,"Male","Yes",2025-11-05,2025-11-19,"Vomiting","No","Not applicable","Recovering","Owner","SYN_A_2025Q4_B3","No","No",2025-11-01,2025,"H2","2025_H2"
"SYNCASE_002921_V1","SYNCASE_002921",1,2025-12-01,2025-12-01,"SYN_A","Cat","US",15,4.6,"Male","No",2025-11-19,2025-12-01,"Vomiting","Yes","Death","Died","Veterinarian","SYN_A_2025Q4_B3","No","No",2025-12-01,2025,"H2","2025_H2"
"SYNCASE_002934_V1","SYNCASE_002934",1,2025-12-08,2025-12-08,"SYN_A","Cat","DE",10.7,7.6,"Male","Unknown",2025-11-16,2025-11-25,"Vomiting","No","Not applicable","Recovered","Veterinarian","SYN_A_2025Q4_B1","No","No",2025-12-01,2025,"H2","2025_H2"
"SYNCASE_002924_V1","SYNCASE_002924",1,2025-12-09,2025-12-09,"SYN_A","Cat","US",4.3,7,"Male","Unknown",2025-12-03,2025-12-08,"Vomiting","No","Not applicable","Recovered","Owner","SYN_A_2025Q4_B3","No","No",2025-12-01,2025,"H2","2025_H2"
"SYNCASE_002912_V1","SYNCASE_002912",1,2025-12-12,2025-12-12,"SYN_A","Dog","US",11,40.7,"Female","Yes",2025-11-19,2025-11-26,"Vomiting","Yes","Life threatening","Unknown","Owner","SYN_A_2025Q4_B2","No","No",2025-12-01,2025,"H2","2025_H2"
"SYNCASE_002918_V1","SYNCASE_002918",1,2025-12-14,2025-12-14,"SYN_A","Dog","DE",11.9,11.1,"Male","Yes",2025-12-07,2025-12-08,"Vomiting","No","Not applicable","Recovered","Veterinarian","SYN_A_2025Q4_B3","No","No",2025-12-01,2025,"H2","2025_H2"
"SYNCASE_002909_V1","SYNCASE_002909",1,2025-12-16,2025-12-16,"SYN_A","Dog","US",5.4,44.7,"Unknown","Yes",2025-11-21,2025-11-27,"Vomiting","Yes","Life threatening","Recovered","Veterinarian",,"No","No",2025-12-01,2025,"H2","2025_H2"
"SYNCASE_002919_V1","SYNCASE_002919",1,2025-12-18,2025-12-18,"SYN_A","Dog","DE",5.6,36.3,"Male","Yes",2025-12-04,2025-12-11,"Vomiting","No","Not applicable","Recovering","Veterinarian","SYN_A_2025Q4_B3","No","No",2025-12-01,2025,"H2","2025_H2"
"SYNCASE_002906_V1","SYNCASE_002906",1,2025-12-19,2025-12-19,"SYN_A","Dog","US",3,7.1,"Male","Yes",2025-12-18,2025-12-19,"Vomiting","No","Not applicable","Recovering","Veterinarian","SYN_A_2025Q4_B2","Yes","No",2025-12-01,2025,"H2","2025_H2"
"SYNCASE_002920_V1","SYNCASE_002920",1,2025-12-21,2025-12-21,"SYN_A","Dog","DE",9.8,12.9,"Male","Yes",2025-11-23,2025-12-02,"Vomiting","No","Not applicable","Recovering","Veterinarian","SYN_A_2025Q4_B3","No","Unknown",2025-12-01,2025,"H2","2025_H2"
"SYNCASE_002927_V1","SYNCASE_002927",1,2025-12-23,2025-12-23,"SYN_A","Cat","US",6,,"Female","Unknown",2025-12-02,2025-12-04,"Vomiting","No","Not applicable","Unknown","Veterinarian","SYN_A_2025Q4_B2","No","Yes",2025-12-01,2025,"H2","2025_H2"
"SYNCASE_002923_V1","SYNCASE_002923",1,2025-12-27,2025-12-27,"SYN_A","Cat","US",1.1,7.9,"Female","No",2025-12-20,2025-12-27,"Vomiting","Yes","Persistent impairment","Recovering","Veterinarian","SYN_A_2025Q4_B1","No","No",2025-12-01,2025,"H2","2025_H2"
