"month","product_id","n_reports","doses_distributed","reports_per_100k_doses","reporting_ratio_lower","reporting_ratio_upper"
2025-08-01,"SYN_A",38,148044,25.6680446353787,18.1642360684635,35.231396692375
2025-09-01,"SYN_A",38,135221,28.1021438977674,19.8867495767641,38.5723881048503
2025-10-01,"SYN_A",41,125524,32.6630763837991,23.4395875437807,44.3111513063119
2025-11-01,"SYN_A",41,114244,35.888099156192,25.7539195655398,48.6862588544999
2025-12-01,"SYN_A",31,112821,27.4771540759256,18.669393090951,39.0016269163088
2023-01-01,"SYN_B",23,74937,30.6924483232582,19.4563794080957,46.0537423366735
2023-02-01,"SYN_B",14,79296,17.6553672316384,9.65235355667448,29.6227062170041
2023-03-01,"SYN_B",24,87788,27.3385884175514,17.5163494494538,40.6776525194254
2023-04-01,"SYN_B",30,104410,28.7328799923379,19.3859534732506,41.0179727945672
2023-05-01,"SYN_B",26,106532,24.4058123380768,15.9426869068415,35.7601697922925
2023-06-01,"SYN_B",22,109076,20.1694231544978,12.6400701091254,30.5367490439008
2023-07-01,"SYN_B",27,114355,23.6106860215994,15.5595908633333,34.3523085524569
2023-08-01,"SYN_B",24,105462,22.7570120043238,14.5808469919843,33.8606299840257
2023-09-01,"SYN_B",12,96804,12.3961819759514,6.40528811693961,21.653635230132
2023-10-01,"SYN_B",33,89505,36.8694486341545,25.3792319677446,51.7784137971837
2023-11-01,"SYN_B",19,83039,22.8808150387167,13.7757453297447,35.7312269795946
2023-12-01,"SYN_B",22,81609,26.9578110257447,16.8943166467297,40.8144498610757
2024-01-01,"SYN_B",22,85219,25.8158391907908,16.1786489776102,39.0854907791986
2024-02-01,"SYN_B",19,94090,20.1934318205973,12.1577650806321,31.53454519246
2024-03-01,"SYN_B",18,100868,17.8451044930008,10.5761398861874,28.2029585869929
2024-04-01,"SYN_B",28,107186,26.1228145466759,17.3584205547903,37.7547403049542
2024-05-01,"SYN_B",41,120810,33.9375879480176,24.3541990468134,46.0401701562246
2024-06-01,"SYN_B",32,119766,26.718768264783,18.275617713946,37.7189286437056
2024-07-01,"SYN_B",35,129548,27.0170129990428,18.8183394591347,37.5741249336795
2024-08-01,"SYN_B",25,115442,21.6558964674902,14.0145543630822,31.9683751992605
2024-09-01,"SYN_B",32,109537,29.2138729379114,19.9822674633088,41.2412719714986
2024-10-01,"SYN_B",30,96323,31.1452093477155,21.013541959263,44.4617229475906
2024-11-01,"SYN_B",15,92870,16.1516097771078,9.03993338299054,26.6396240674985
2024-12-01,"SYN_B",21,86932,24.1568122210463,14.9534475038837,36.9262535486856
2025-01-01,"SYN_B",35,119601,29.2639693648046,20.3834268965308,40.699097306112
2025-02-01,"SYN_B",24,135020,17.7751444230484,11.3888704300744,26.4480059204216
2025-03-01,"SYN_B",36,153421,23.4648450994323,16.434489031694,32.4852363687084
2025-04-01,"SYN_B",44,160947,27.3381920756522,19.8639722133027,36.7002468392127
2025-05-01,"SYN_B",40,171271,23.354800287264,16.685011730993,31.8026092940335
2025-06-01,"SYN_B",59,179055,32.9507693166904,25.0836523016355,42.5040916827655
2025-07-01,"SYN_B",44,184101,23.8999244979658,17.3657217278257,32.0845330988467
2025-08-01,"SYN_B",37,176737,20.9350617018508,14.74021544278,28.8562248662877
2025-09-01,"SYN_B",50,159934,31.2628959445771,23.2039239545449,41.2162308604404
2025-10-01,"SYN_B",33,142491,23.159357433101,15.9418360266472,32.5243483933507
2025-11-01,"SYN_B",35,133161,26.2839720338538,18.3077495682067,36.554642402117
2025-12-01,"SYN_B",32,125727,25.4519713347173,17.4091295515558,35.9305893558428
2023-01-01,"SYN_C",22,58200,37.8006872852234,23.6894894711849,57.2306948232392
2023-02-01,"SYN_C",13,68062,19.1002321412829,10.1700691883926,32.6619786638049
2023-03-01,"SYN_C",14,71066,19.6999971857147,10.7701717787699,33.0532478566904
2023-04-01,"SYN_C",16,81286,19.6835863494329,11.2508703265526,31.9649110517936
2023-05-01,"SYN_C",24,86847,27.6348060382051,17.7061416683207,41.1184008586977
2023-06-01,"SYN_C",28,90629,30.8951880744574,20.5296281056367,44.6521488080727
2023-07-01,"SYN_C",16,84852,18.8563616650167,10.7780399444227,30.6215499900544
2023-08-01,"SYN_C",19,83829,22.6651874649584,13.6459234445916,35.3944978129115
2023-09-01,"SYN_C",21,79317,26.476039184538,16.3890855479609,40.471438323365
2023-10-01,"SYN_C",15,69622,21.5449139639769,12.0585247950121,35.5350591357413
2023-11-01,"SYN_C",21,64783,32.4159115817421,20.0659601810293,49.5511642482494
2023-12-01,"SYN_C",19,63748,29.8048566229529,17.9444706725964,46.5439756095652
2024-01-01,"SYN_C",24,68869,34.8487708548113,22.3282650462276,51.8522086769856
2024-02-01,"SYN_C",17,72439,23.4680213697042,13.6709872715075,37.5745755958898
2024-03-01,"SYN_C",17,78773,21.5809985654983,12.5717269490908,34.5532692875815
2024-04-01,"SYN_C",15,87400,17.162471395881,9.60570495741798,28.3068865806474
2024-05-01,"SYN_C",30,95831,31.3051100374618,21.1214262831661,44.6899911248006
2024-06-01,"SYN_C",27,98979,27.2785136241021,17.9767123650115,39.6888051456997
2024-07-01,"SYN_C",29,97202,29.8347770622004,19.9808184374271,42.8477165475881
2024-08-01,"SYN_C",14,96237,14.54741939171,7.95320955173228,24.4080978436938
2024-09-01,"SYN_C",19,87358,21.7495821790792,13.0946692510895,33.9646667409803
2024-10-01,"SYN_C",12,75777,15.8359396650699,8.18266110920493,27.6621996755968
2024-11-01,"SYN_C",16,71817,22.2788476266065,12.7342863857325,36.179452772409
2024-12-01,"SYN_C",13,69312,18.7557710064635,9.98665814145286,32.0729396326161
2025-01-01,"SYN_C",24,70770,33.9126748622298,21.7284906806365,50.4593720414769
2025-02-01,"SYN_C",18,75409,23.8698298611572,14.146773966502,37.7246220842711
2025-03-01,"SYN_C",17,92974,18.2846817389808,10.6515009245674,29.2755467290927
2025-04-01,"SYN_C",24,100758,23.8194485797654,15.2615701529273,35.4414513922003
2025-05-01,"SYN_C",27,103210,26.1602557891677,17.2397734054498,38.0617987066777
2025-06-01,"SYN_C",33,109817,30.0499922598505,20.6850319829624,42.2013616008171
2025-07-01,"SYN_C",29,99864,29.0394937114476,19.4482046959344,41.7055569961013
2025-08-01,"SYN_C",19,104190,18.2359151550053,10.979212174265,28.4776404372642
2025-09-01,"SYN_C",24,91177,26.3224278052579,16.8652761712784,39.1656860762618
2025-10-01,"SYN_C",18,80128,22.4640575079872,13.3136241768165,35.5028957012879
2025-11-01,"SYN_C",23,75025,30.6564478507164,19.4335581966607,45.9997239517934
2025-12-01,"SYN_C",31,73947,41.921917048697,28.4839087172459,59.5048149394144
